,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
47,SA134.3,7,P5-P8,S1BF,SSTCre,SST,23,-64.51005859375002,989.1762473366474,0.11575585502919547,26.944055944055975,-34.24072265625,54.74853515625,0.0030000000000001137,19.683837890625,36.0,1.1849380362249762,1.865753173828125
48,SA134.4,7,P5-P8,S1BF,SSTCre,SST,4,-61.085994466145834,842.2723203716848,0.06714287766871914,6.924050632911385,-35.09521484375,63.446044921875,0.0033000000000000806,7.659912109375,8.0,1.4935233160621761,3.388702392578125
49,SA134.5,7,P5-P8,S1BF,SSTCre,SST,4,-68.41361694335939,897.0050603693174,0.09888205820428056,9.000000000000009,-39.947509765625,66.192626953125,0.002950000000000008,15.167236328125,48.0,1.0935334872979214,5.75555419921875
50,SA134.6,7,P5-P8,V1,SSTCre,SST,4,-68.40414428710939,1301.2551047585218,0.12717610661322223,10.0,-44.43359375,55.877685546875,0.004050000000000109,6.7138671875,22.0,1.15625,1.678192138671875
51,SA134.7,7,P5-P8,V1,SSTCre,SST,4,-72.63884073893229,1091.3248697916663,0.1393013447981229,5.999999999999998,-45.59326171875,74.798583984375,0.0025999999999999357,13.12255859375,38.0,1.0450135816841288,0.61279296875
52,SA134.8,7,P5-P8,V1,LHX6,PV,4,-68.16920979817709,1725.6605483546396,0.054201327388871595,7.857142857142862,-32.65380859375,54.50439453125,0.002950000000000008,18.341064453125,26.0,1.3854961832061068,2.76116943359375
53,SA134.9,7,P5-P8,V1,Pyramidal,Pyr,4,-63.48648478190104,1176.1742794152453,0.07214836843413326,30.0,-33.355712890625,57.67822265625,0.0040999999999999925,0.48828125,6.0,0.0020304568527918783,2.168487548828125
54,SA83.1,11,P9-P13,V1,LHX6,PV,4,-62.15440185239267,215.80167149336296,0.05132136620966135,61.666666666666636,-37.65869140625,56.2744140625,0.0016500000000001513,18.00537109375,56.0,1.286368843069874,1.291900634765625
55,SA83.2,11,P9-P13,V1,LHX6,PV,4,-59.84752138676936,252.84012126145532,0.04047288451616398,82.00000000000006,-32.40966796875,52.18505859375,0.0016000000000000458,20.355224609375,48.0,1.0862239841427155,1.679534912109375
56,SA83.3,11,P9-P13,V1,LHX6;SSTCre,SST,4,-60.092156463805566,391.33236716040784,0.06283550402485574,31.66666666666664,-39.55078125,57.342529296875,0.0020000000000000018,6.28662109375,42.0,1.1439024390243901,2.7064208984375
57,SA83.4,11,P9-P13,V1,LHX6,PV,4,-56.840311943493695,254.32101365540828,0.017296703432862433,41.66666666666669,-30.029296875,48.675537109375,0.0015499999999999403,19.8974609375,58.0,1.1747463359639234,0.465362548828125
58,SA84.1,11,P9-P13,V1,SSTCre,SST,4,-55.017982991536456,253.075321081913,0.02035201642396317,72.6666666666666,-31.036376953125,55.511474609375,0.0021499999999998742,8.11767578125,16.0,1.7916666666666667,0.16619873046875
59,SA85.1,13,P14-P18,V1,SSTCre,SST,4,-59.65781858669495,126.791651685538,0.009970448429968666,23.94117647058827,-48.187255859375,60.6689453125,0.0015499999999999403,9.3994140625,34.0,2.9216867469879517,0.888580322265625
60,SA85.2,13,P14-P18,V1,SSTCre,SST,4,-60.647023986162935,276.68848078376067,0.033113786173100415,14.576923076923048,-41.19873046875,69.27490234375,0.0015499999999999403,7.32421875,40.0,1.9008042895442359,4.81231689453125
61,SA85.3,13,P14-P18,V1,SSTCre,SST,4,-63.36268829276831,215.93620518970252,0.04138466817108579,48.500000000000014,-41.80908203125,53.77197265625,0.0014499999999999513,7.720947265625,54.0,1.0898587933247754,0.3736572265625
62,SA86.1,13,P14-P18,V1,SSTCre,SST,4,-55.31409511229631,360.5646673675479,0.07713588884104439,22.891304347826075,-38.6962890625,59.63134765625,0.0013499999999999623,9.33837890625,32.0,1.0516455696202531,0.36297607421875
63,SA86.2,13,P14-P18,V1,SSTCre,SST,4,-67.38292190780962,170.4841345021954,0.017730829379014018,67.66666666666669,-43.701171875,54.26025390625,0.0014999999999998348,6.89697265625,20.0,1.7317436661698957,0.717254638671875
64,SA87.1,16,P14-P18,V1,Pyramidal,FS,4,-61.0012934875502,134.84150024349063,0.010757035650885288,131.64369616288175,-32.53173828125,62.835693359375,0.0006500000000000394,25.726318359375,74.0,0.9235127478753541,2.91876220703125
65,SA88.1,16,P14-P18,V1,LHX6,PV,4,-67.69874558882428,164.65062869650274,0.011877380945947343,140.50904799370576,-31.646728515625,61.6455078125,0.0009000000000001229,22.94921875,68.0,0.44245142002989535,3.241241455078125
66,SA88.2,16,P14-P18,V1,LHX6,PV,4,-71.76059343066447,120.48413267820484,0.008915062827807248,242.99999999999994,-33.02001953125,60.028076171875,0.0008500000000000174,21.54541015625,70.0,0.8636096413874191,0.983428955078125
67,SA88.3,16,P14-P18,S1BF,LHX6,PV,4,-62.0102171128825,80.43824049290365,0.008404096543370149,225.87000000000006,-39.00146484375,62.408447265625,0.0005999999999999339,14.373779296875,112.0,0.8573883161512027,1.83721923828125
68,SA88.4,16,P14-P18,S1BF,Pyramidal,Pyr,4,-62.97734639486176,364.36832115611327,0.02257336977612389,40.0,-35.21728515625,59.63134765625,0.0020500000000001073,11.993408203125,16.0,1.242086144265698,3.948577880859375
69,SA89.1,16,P14-P18,V1,LHX6,PV,4,-71.74154555185335,143.3113527009619,0.009823275010690772,127.97138184791483,-33.935546875,58.2275390625,0.0009999999999998899,24.658203125,66.0,1.0875912408759123,1.391754150390625
70,SA89.2,16,P14-P18,V1,LHX6,PV,4,-57.34984746499247,125.48631375931637,0.00775537950516201,65.62686567164181,-35.09521484375,49.49951171875,0.0010499999999999954,20.6298828125,76.0,0.9552529182879378,1.43963623046875
71,SA90.1,8,P5-P8,V1,SSTCre,SST,4,-69.04492441080347,688.5284791726007,0.05708877264087558,10.0,-42.572021484375,66.558837890625,0.0020499999999998852,15.9912109375,60.0,1.032427695004382,8.74725341796875
72,SA90.2,8,P5-P8,V1,Pyramidal,Pyr,4,-63.144854687058135,1047.9566174072268,0.08293557953811191,20.0,-36.102294921875,58.807373046875,0.00374999999999992,-0.79345703125,20.0,0.7312116564417178,6.244537353515625
73,SA91.1,8,P5-P8,V1,LHX6,PV,4,-68.18045963106748,711.4263467646056,0.02457139093132628,5.789473684210525,-33.69140625,54.74853515625,0.0025500000000000522,17.913818359375,42.0,1.3045454545454545,7.12408447265625
74,SA91.2,8,P5-P8,V1,LHX6,PV,4,-59.39516468620618,619.5952411252299,0.03681922768108519,19.166666666666664,-32.196044921875,49.957275390625,0.002950000000000008,15.869140625,34.0,1.2366863905325445,1.667144775390625
75,SA91.3,8,P5-P8,V1,LHX6;SSTCre,SST,4,-74.2706970392714,307.8808121264409,0.019280159483920832,45.00000000000003,-38.0859375,64.117431640625,0.0019499999999998963,11.383056640625,70.0,1.4099560761346999,11.686126708984375
76,SA92.1,9,P9-P13,V1,SSTCre,SST,4,-60.331134033203135,809.4173916903405,0.10593088664791565,8.24590163934427,-37.506103515625,73.272705078125,0.0020000000000000018,9.21630859375,50.0,2.2876404494382023,0.552001953125
77,SA92.3,9,P9-P13,S1BF,Pyramidal,Pyr,4,-61.84279820103066,592.5440282341638,0.058694591300255346,12.999999999999991,-36.376953125,71.1669921875,0.0029999999999998916,0.79345703125,12.0,1.228676085818943,3.476287841796875
78,SA92.4,9,P9-P13,S1BF,SSTCre,SST,4,-63.75790812174478,505.8248254024619,-0.5069239795033579,18.118644067796584,-35.614013671875,54.840087890625,0.0024000000000001798,6.988525390625,38.0,1.3331653225806452,4.603363037109375
79,SA94.1,9,P9-P13,V1,LHX6,PV,4,-60.77668398388931,198.96170342156907,0.02016217335115072,20.999999999999876,-33.111572265625,57.098388671875,0.0016000000000000458,23.01025390625,48.0,1.2787979966611018,5.36566162109375
80,SA94.2,9,P9-P13,S1BF,LHX6,PV,4,-65.91984757689369,179.60419941653694,-0.9821279175911177,97.07540983606548,-31.829833984375,60.699462890625,0.0011499999999999844,20.538330078125,28.0,1.4510050251256281,7.6478271484375
81,SA94.3,9,P9-P13,S1BF,LHX6,PV,4,-73.69620431549941,202.39713068352015,0.02620509935189816,81.00000000000007,-34.210205078125,64.8193359375,0.0013499999999999623,21.148681640625,60.0,1.408684546615581,5.740020751953125
